0,0
1,0
2,1
6,0
7,0
8,0
13,0
16,0
23,0
27,0
29,0
36,0
41,0
50,0
59,0
63,-3
64,11
69,44
72,74
77,82
78,98
85,48
91,124
99,140
104,151
105,178
111,195
113,194
118,236
121,235
125,301
128,300
131,322
132,373
136,419
140,415
141,449
143,462
147,483
149,533
150,518
156,604
165,770
167,852
171,900
175,1058
177,1111
181,1220
183,1343
185,1416
190,1682
192,1814
197,1910
199,2020
204,2069
206,2210
211,2347
214,2615
218,3735
220,3828
225,3689
227,3732
232,4199
234,4399
239,4823
241,4923
246,5201
248,5579
253,5729
260,6129
267,6271
274,6422
281,6688
288,6837
295,7062
302,7195
309,7319
316,7464
323,7593
330,7695
337,7840
344,7920
351,7990
358,8060
365,8094
366,8102
367,8116
370,8151
371,8175
372,8175
373,8212
378,8307
379,8307
380,8314
381,8328
384,8334
385,8344
386,8344
387,8358
388,8379
389,8384
390,8379
390,8390
392,8409
393,8427
395,8467
397,8472
399,8486
400,8497
403,8524
404,8537
404,8537
406,8566
407,8588
410,8615
411,8619
413,8632
414,8636
417,8687
420,8749
421,8759
425,8798
427,8824
428,8834
431,8905
432,8915
436,8938
437,8947
438,8971
439,8986
441,8994
442,9015
445,9043
446,9046
448,9068
449,9086
453,9131
455,9152
456,9162
461,9183
462,9187
462,9196
465,9200
466,9210
467,9215
470,9215
471,9228
472,9236
475,9255
476,9262
477,9262
478,9262
479,9262
482,9292
483,9301
484,9301
485,9313
486,9315
489,9333
490,9340
491,9339
492,9428
493,9436
496,9451
497,9455
498,9455
499,9475
500,9477
503,9514
504,9519
506,9533
507,9533
510,9537
511,9542
513,9566
514,9581
517,9586
518,9589
520,9630
521,9634
524,9650
525,9656
527,9685
528,9686
532,9730
534,9744
535,9748
538,9794
539,9803
541,9618
542,9830
545,9856
546,9868
548,9891
552,9939
553,9956
555,9973
556,9976
559,9986
561,9990
562,10001
563,10002
566,10023
567,10027
569,10037
570,10037
573,10044
574,10046
576,10076
577,10083
580,10097
581,10106
583,10111
584,10112
587,10123
588,10134
590,10149
591,10154
594,10167
595,10167
597,10167
601,10167
602,10167
603,10167
604,10167
605,10167
608,10167
609,10167
610,10167
611,10167
612,10167
615,10167
616,10167
617,10167
618,10167
619,10167
622,10167
623,10167
624,10167
625,10167
626,10167
629,10167
630,10167
631,10167
632,10167
633,10167
636,10167
637,10167
638,10167
639,10167
640,10167
643,10167
644,10167
645,10167
652,10167
659,10167
666,10167
673,10168
680,10168
687,10168
694,10168
709,10168
729,10168
736,10168
750,10168
